Updates,num timesteps,FPS,Last num training episodes,success rate
4390,351280,40,100,0.11
4400,352080,40,100,0.11
4410,352880,41,100,0.11
4420,353680,41,100,0.12
4430,354480,41,100,0.12
4440,355280,41,100,0.12
4450,356080,41,100,0.12
4460,356880,41,100,0.12
4470,357680,41,100,0.13
4480,358480,41,100,0.13
4490,359280,41,100,0.14
4500,360080,41,100,0.15
4510,360880,41,100,0.15
4520,361680,41,100,0.15
4530,362480,41,100,0.15
4540,363280,41,100,0.16
4550,364080,41,100,0.14
4560,364880,41,100,0.14
4570,365680,41,100,0.12
4580,366480,41,100,0.12
4590,367280,41,100,0.12
4600,368080,41,100,0.12
4610,368880,41,100,0.12
4620,369680,41,100,0.12
4630,370480,41,100,0.12
4640,371280,41,100,0.13
4650,372080,41,100,0.12
4660,372880,41,100,0.11
4670,373680,41,100,0.11
4680,374480,41,100,0.11
4690,375280,41,100,0.11
4700,376080,41,100,0.11
4710,376880,41,100,0.11
4720,377680,41,100,0.11
4730,378480,41,100,0.11
4740,379280,41,100,0.12
4750,380080,41,100,0.12
4760,380880,41,100,0.11
4770,381680,41,100,0.11
4780,382480,41,100,0.1
4790,383280,41,100,0.09
4800,384080,41,100,0.1
4810,384880,41,100,0.1
4820,385680,41,100,0.1
4830,386480,41,100,0.1
4840,387280,41,100,0.09
4850,388080,41,100,0.09
4860,388880,41,100,0.08
4870,389680,41,100,0.07
4880,390480,42,100,0.08
4890,391280,42,100,0.1
4900,392080,42,100,0.1
4910,392880,42,100,0.12
4920,393680,42,100,0.12
4930,394480,42,100,0.13
4940,395280,42,100,0.13
4950,396080,42,100,0.13
4960,396880,42,100,0.12
4970,397680,42,100,0.12
4980,398480,42,100,0.12
4990,399280,42,100,0.12
5000,400080,42,100,0.11
5010,400880,42,100,0.12
5020,401680,42,100,0.14
5030,402480,42,100,0.13
5040,403280,42,100,0.13
5050,404080,42,100,0.16
5060,404880,42,100,0.16
5070,405680,42,100,0.17
5080,406480,42,100,0.17
5090,407280,42,100,0.17
5100,408080,42,100,0.17
5110,408880,42,100,0.16
5120,409680,42,100,0.17
5130,410480,42,100,0.17
5140,411280,42,100,0.17
5150,412080,42,100,0.17
5160,412880,42,100,0.17
5170,413680,42,100,0.16
5180,414480,42,100,0.17
5190,415280,42,100,0.16
5200,416080,42,100,0.17
5210,416880,42,100,0.18
5220,417680,42,100,0.2
5230,418480,42,100,0.2
5240,419280,42,100,0.22
5250,420080,42,100,0.23
5260,420880,42,100,0.23
5270,421680,42,100,0.23
5280,422480,42,100,0.23
5290,423280,42,100,0.21
5300,424080,42,100,0.23
5310,424880,42,100,0.23
5320,425680,42,100,0.24
5330,426480,42,100,0.24
5340,427280,42,100,0.24
5350,428080,42,100,0.25
5360,428880,42,100,0.26
5370,429680,42,100,0.26
5380,430480,43,100,0.26
5390,431280,43,100,0.26
