Updates,num timesteps,FPS,Last num training episodes,success rate
10,14080,11,57,0.19298245614035087
20,26880,12,100,0.19
30,39680,14,100,0.23
40,52480,15,100,0.37
50,65280,16,100,0.68
60,78080,17,100,0.89
70,90880,18,100,0.91
80,103680,19,100,0.96
90,116480,19,100,0.98
100,129280,20,100,0.98
110,142080,20,100,1.0
